,trip_id,arrival_time,departure_time,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
541912,2968288_13272,05:16:10,05:16:10,19,5 Tannehill EB,0,5,1,1,30.318547,-97.736463,1143 49th/Grover,False
392041,2964673_8422,05:16:16,05:16:16,10,323 Northcross WB,0,323,1,1,30.354997,-97.728269,2114 Anderson/Hardy,False
372946,2964305_7672,05:16:18,05:16:18,7,318 Westgate Transit Center WB,1,318,1,1,30.167294,-97.789084,132 Slaughter/Congress,False
405393,2965075_8857,05:16:18,05:16:18,10,325 Norwood Transit Center SB,0,325,1,1,30.403297,-97.700246,12026 Metric/Bittern,False
299949,2963048_6139,05:16:21,05:16:21,10,300 Crestview Station NB,1,300,1,1,30.248024,-97.771014,Oltorf West Station (NB),False
349952,2963448_6941,05:16:22,05:16:22,17,310 S. Congress Transit Center WB,1,310,1,1,30.224895,-97.742138,3004 Parker/Timber Ridge,False
472037,2966220_10589,05:16:22,05:16:22,7,345 Hancock Center EB,1,345,1,1,30.310607,-97.732618,507 45th/Guadalupe,False
717766,2974004_22086,05:16:23,05:16:23,5,837 Decker NB,1,837,1,1,30.27751,-97.735397,Medical School NB (Trinity/17th),True
474697,2966388_10793,05:16:27,05:16:27,15,350 North Lamar Transit Center NB,0,350,1,1,30.26848,-97.69626,1135 Airport/Goodwin,False
621038,2972286_19124,05:16:28,05:16:28,44,7 Airport/Highland NB,1,7,1,1,30.28555,-97.733531,UT Stadium NB (San Jacinto/23rd),False
365130,2964171_7404,05:16:29,05:16:29,5,315 S. Congress Transit Center EB,0,315,1,1,30.236071,-97.835177,5328 290 Hwy/290,False
634199,2972217_19334,05:16:33,05:16:33,42,7 William Cannon SB,0,7,1,1,30.227504,-97.740505,2718 Parker/Royal Hill,False
72316,2960249_0996,05:16:41,05:16:41,3,135 Tech Ridge Park & Ride NB,0,135,1,1,30.27388,-97.697907,Oak Springs NB (Airport/Oak Springs),False
377842,2964508_7809,05:16:41,05:16:41,18,322 Hancock Center NB,1,322,1,1,30.279657,-97.721116,1817 Chicon/Martin Luther King,False
116295,2961013_2500,05:16:47,05:16:47,17,20 Springdale NB,0,20,1,1,30.246505,-97.731969,1600 Riverside/Summit,False
548101,2968325_13375,05:16:48,05:16:48,28,5 Northcross WB,1,5,1,1,30.27219,-97.753539,601 Lamar/6th,False
411694,2965412_9025,05:16:54,05:16:54,17,333 Thaxton EB,1,333,1,1,30.206736,-97.834965,7613 Brodie/Harpers Ferry,False
45085,2959874_0596,05:16:55,05:16:55,28,10 Norwood Transit Center NB,1,10,1,1,30.24193,-97.759656,2401 S 1st/Oltorf,False
368266,2964269_7570,05:16:55,05:16:55,19,318 Thaxton EB,0,318,1,1,30.198861,-97.82689,8004 West Gate/Ranch,False
